feature_index,importance
0,0.4444444444444444
1,0.3611111111111111
2,0.5833333333333334
3,0.5
4,0.5
5,0.5
6,0.4444444444444444
7,0.6388888888888888
8,0.5
9,0.4444444444444444
10,0.5
11,0.5
12,0.5277777777777778
13,0.4444444444444444
14,0.4722222222222222
15,0.5
16,0.5277777777777778
17,0.3888888888888889
18,0.3055555555555556
19,0.5833333333333334
20,0.5833333333333334
21,0.3888888888888889
22,0.5833333333333334
23,0.6111111111111112
24,0.4722222222222222
25,0.5
26,0.5
27,0.4722222222222222
28,0.5555555555555556
29,0.5277777777777778
30,0.3888888888888889
test_rmse,0.126252092236847
